Word,Category,Hint
Mop,What,A tool with a sponge or cloth for cleaning floors
Bucket,What,A cylindrical open container with a handle
Feather Duster,What,A tool for cleaning delicate surfaces
Fire Extinguisher,What,A device for putting out small fires
Smoke Detector,What,An alarm that detects smoke
Fireplace,What,A structure for containing a fire in a house
Chimney,What,A vertical channel that conducts smoke from a fire
Doorbell,What,A bell on a door that a visitor rings
Mailbox,What,A box for receiving mail
Key,What,A small piece of shaped metal for operating a lock
Hinge,What,A movable joint on which a door or lid swings
Nail,What,A small metal spike driven into wood
Screw,What,A pointed metal pin with a spiral thread
Bolt,What,A metal pin with a head and a thread for a nut
Nut,What,A small block with a threaded hole for a bolt
Washer,What,A flat ring placed under a nut or bolt head
Chainsaw,What,A power-driven saw with teeth on a chain
Axe,What,A tool for chopping wood
Hedge Trimmers,What,A tool for cutting hedges
Lawn Mower,What,A machine for cutting grass
Watering Can,What,A container with a spout for watering plants
Hose,What,A flexible tube for conveying water
Sprinkler,What,A device that sprays water over a lawn
Rake,What,A long-handled tool for gathering leaves
Wheelbarrow,What,A small cart with one wheel for carrying loads
Gnome,What,A small ornamental garden statue
Hammock,What,A sling of fabric or netting suspended between two points
Deckchair,What,A folding chair for use outdoors
Tent,What,A portable shelter of canvas or other material
Sleeping Bag,What,"A warm, padded bag to sleep in outdoors"
Campfire,What,An open-air fire in a camp
Torch,What,A portable battery-powered electric lamp
Lantern,What,A lamp with a transparent case protecting the flame
Backgammon,What,A board game for two players with counters and dice
Checkers,What,A board game for two players also known as draughts
Dominoes,What,Small rectangular blocks marked with spots
Marbles,What,Small spherical toys usually made of glass
Slinky,What,A pre-compressed helical spring toy
Etch A Sketch,What,A mechanical drawing toy
View-Master,What,A device for viewing stereoscopic 3D images
Cuckoo Clock,What,A clock that strikes the hours with a cuckoo call
Grandfather Clock,What,"A tall, freestanding, weight-driven pendulum clock"
Hourglass,What,A device with two glass bulbs connected by a narrow neck
Quill,What,A writing tool made from a bird's feather
Scroll,What,A roll of parchment or paper for writing on
Highlighter,What,A felt-tip pen for marking text
Chalk,What,A soft white limestone for writing on a blackboard
Blackboard,What,A dark surface for writing on with chalk
Whiteboard,What,A glossy white surface for non-permanent markings
Projector,What,A device for projecting slides or film onto a screen
Cash Register,What,A machine used in places of business for regulating money transactions with customers
Vending Machine,What,A machine that dispenses small articles when a coin is inserted
ATM,What,Automated Teller Machine
Parking Meter,What,A machine that collects money in exchange for the right to park a vehicle in a particular place
Traffic Light,What,A set of automatically operated colored lights for controlling traffic
Streetlight,What,A light illuminating a road at night
Fire Hydrant,What,A connection point for firefighters to tap into a water supply
Manhole Cover,What,A removable plate forming the lid over the opening of a manhole
Billboard,What,A large outdoor board for displaying advertisements
Windmill,What,A structure with vanes that are turned by the wind to generate power
Water Wheel,What,A large wheel driven by flowing water
Dam,What,A barrier constructed to hold back water
Bridge,What,A structure carrying a road or railway across a river or obstacle
Tunnel,What,An artificial underground passage
Ferris Wheel,What,An amusement ride consisting of a rotating upright wheel with passenger cars
Roller Coaster,What,An amusement ride with a railroad track that has tight turns and steep slopes
Carousel,What,"An amusement ride with revolving seats, often in the form of horses"
Swing,What,A seat suspended by ropes or chains on which someone may swing
Slide,What,A structure with a smooth sloping surface for children to slide down
See-saw,What,A long plank balanced in the middle on which children ride
Climbing Frame,What,A structure for children to climb on
Sandpit,What,A shallow pit of sand for children to play in
Paddling Pool,What,A shallow artificial pool for children to play in
Aquarium,What,A transparent tank of water in which fish and other water creatures are kept
Terrarium,What,A sealed transparent globe or similar container in which plants are grown
Bonsai Tree,What,An ornamental tree or shrub grown in a pot and artificially prevented from reaching its normal size
Origami,What,The Japanese art of folding paper into decorative shapes
Calligraphy,What,The art of producing decorative handwriting
Tapestry,What,A piece of thick textile fabric with pictures or designs formed by weaving
Mosaic,What,A picture or pattern produced by arranging together small colored pieces of hard material
Stained Glass,What,Colored glass used to form decorative windows
Fresco,What,A painting done rapidly in watercolor on wet plaster on a wall or ceiling
Palette,What,A thin board or slab on which an artist lays and mixes colors
Clay,What,"A stiff, sticky fine-grained earth that can be molded when wet"
Mallet,What,"A hammer with a large, usually wooden, head"
Saddle,What,A seat for a rider on the back of a horse
Reins,What,"A long, narrow strap attached to a horse's bit, used to guide or check a horse"
Whip,What,"A lash with a handle, used for urging on an animal"
Lasso,What,"A rope with a noose at one end, used for catching cattle"
Spear,What,A weapon with a long shaft and a pointed tip
Shield,What,"A broad piece of metal or another suitable material, held by straps or a handle attached on one side, used as a protection against blows or missiles"
Bow and Arrow,What,"A weapon for shooting arrows, consisting of a curved piece of wood with a cord connecting the two ends"
Sword,What,A weapon with a long metal blade and a hilt with a hand guard
Dagger,What,"A short, pointed knife, used as a weapon"
Armor,What,"Protective clothing made of metal, leather, or other material"
Cannon,What,"A large, heavy piece of artillery, typically mounted on wheels, formerly used in warfare"
Grenade,What,A small bomb thrown by hand or launched mechanically
Walkie-Talkie,What,A portable two-way radio
Morse Code,What,An alphabet or code in which letters are represented by combinations of long and short signals of light or sound
Lighthouse,What,A tower containing a beacon light to warn or guide ships at sea
Buoy,What,"An anchored float serving as a navigation mark, to show reefs or other hazards, or for mooring"
Anchor,What,A heavy object attached to a cable or chain and used to moor a ship to the sea bottom
Sail,What,A piece of material extended on a mast to catch the wind and propel a boat or ship
Rudder,What,A flat piece hinged vertically near the stern of a boat or ship for steering
Oar,What,"A pole with a flat blade, used to row or steer a boat through the water"
Propeller,What,A mechanical device with rotating blades that is used to propel a ship or aircraft
Jet Engine,What,"An engine that generates a powerful thrust in a jet of fluid, especially of hot gases"
Rocket,What,A spacecraft propelled by a rocket engine
Parachute,What,A cloth canopy which fills with air and allows a person or heavy object to descend slowly when dropped from an aircraft
Tandem Bicycle,What,"A bicycle with seats and pedals for two riders, one behind the other"
Tricycle,What,"A vehicle similar to a bicycle, but having three wheels"
Skateboard,What,"A short board with two small wheels at each end, on which a person can ride"
Roller Skates,What,"Boots with wheels fixed to them, for riding on a hard surface"
Ice Skates,What,"Boots with blades attached to the bottom, used for skating on ice"
Pogo Stick,What,"A toy for jumping about on, consisting of a pole with a spring at the bottom and a handle and footrests at the top"
Hula Hoop,What,"A large hoop that is twirled around the waist, limbs or neck"
Jump Rope,What,A rope used in the game of skipping
Maracas,What,"A pair of hollow club-like gourd or gourd-shaped containers filled with beans, pebbles, or similar objects, shaken as a percussion instrument"
Tambourine,What,A percussion instrument resembling a shallow drum with metal jingles fixed in the frame
Castanets,What,"A pair of small concave pieces of wood, ivory, or plastic, joined in pairs by a cord and clicked together by the fingers as a rhythmic accompaniment to dancing"
Triangle,What,"A percussion instrument consisting of a steel rod bent into a triangle, open at one corner"
Gong,What,"A metal disc with a turned rim, giving a resonant note when struck"
Cymbal,What,A percussion instrument consisting of a circular flat or concave metal plate that is struck with a drumstick or used in pairs struck together
Electric Guitar,What,A guitar with a built-in pickup or pickups that convert the vibrations of its strings into electrical signals
Bass Guitar,What,"An electric guitar with four or five strings, playing in the bass range"
French Horn,What,"A brass instrument with a coiled tube, valves, and a wide bell"
Trombone,What,A large brass wind instrument with a sliding tube
Tuba,What,"A large brass wind instrument of bass pitch, with three to six valves and a broad bell"
Xylophone,What,A musical instrument played by striking a row of wooden bars of graduated length with one or more small mallets
Chimes,What,"A set of tuned bells, or a percussion instrument consisting of a set of tuned metal tubes of different lengths"
Turntable,What,A circular revolving platform on which a phonograph record is played
Cassette Tape,What,"A cassette for magnetic tape, used for recording or playing back sound or video"
CD Player,What,A device for playing compact discs
MP3 Player,What,A portable electronic device for playing digital audio files
E-reader,What,A portable electronic device for reading books in digital form
GPS,What,A global positioning system
Calculator,What,A small electronic device used for making calculations
Slide Projector,What,An opto-mechanical device for showing photographic slides
Overhead Projector,What,A device that projects an image of a transparent sheet onto a screen
Film Projector,What,A device for projecting a moving picture onto a screen
Movie Camera,What,A camera for recording motion pictures
Tripod,What,A three-legged stand for supporting a camera or other apparatus
Megaphone,What,A large funnel-shaped device for amplifying and directing the voice
Hearing Aid,What,"A small device that fits in or on the ear, worn by a partially deaf person to amplify sound"
Pacemaker,What,An artificial device for stimulating the heart muscle and regulating its contractions
Defibrillator,What,An apparatus used to control heart fibrillation by application of an electric current to the chest wall or heart
Prosthetic Limb,What,An artificial body part
X-ray Machine,What,A machine that uses X-rays to produce images of the internal structures of a body
MRI Machine,What,A medical imaging technique used in radiology to form pictures of the anatomy and the physiological processes of the body
Ultrasound Machine,What,A machine that uses sound waves to create images of organs and structures inside the body
EKG Machine,What,A machine that records the electrical activity of the heart
IV Drip,What,A method of slowly administering fluid into a vein
Sling,What,A flexible strap or belt used in the form of a loop to support or raise a weight
Splint,What,A strip of rigid material used for supporting and immobilizing a broken bone when it has been set
Cast,What,A rigid dressing used for immobilizing a broken bone
Stretcher,What,"A framework of two poles with a long piece of canvas slung between them, used for carrying sick, injured, or dead people"
Gurney,What,A wheeled stretcher used for transporting hospital patients
Walker,What,A frame used by disabled or infirm people for support while walking
Braille,What,"A form of written language for blind people, in which characters are represented by patterns of raised dots that are felt with the fingertips"
Protractor,What,"An instrument for measuring angles, typically in the form of a flat semicircle marked with degrees along the curved edge"
Set Square,What,"A right-angled triangular plate of wood or plastic, for use in drawing"
French Curve,What,A template used for drawing curved lines
Calipers,What,"An instrument for measuring external or internal dimensions, having two hinged legs"
Level,What,A device for establishing a horizontal plane
Plumb Bob,What,"A weight, usually with a pointed tip on the bottom, suspended from a string and used as a vertical reference line"
Chalk Line,What,"A tool for marking long, straight lines on relatively flat surfaces"
Whetstone,What,A fine-grained stone used for sharpening cutting tools
Grindstone,What,"A revolving disc of stone, used for sharpening tools or grinding metal"
Lathe,What,"A machine for shaping wood, metal, or other material by means of a rotating drive which turns the piece being worked on against changeable cutting tools"
Ambulance,What,Vehicle
Amplifier,What,Electronic device
Ant,What,Animal
Antenna,What,Item
Ape,What,Animal
Apple,What,Food
Apron,What,Household item
Armchair,What,Furniture
Arrow,What,Weapon
Ashtray,What,Household item
Astronaut,What,Space traveler
Atlas,What,Book of maps
Avocado,What,Food
Baboon,What,Animal
Badger,What,Animal
Balloon,What,Toy
Barber,What,Profession
Barn,What,Building
Barrel,What,Container
Beach,What,Natural place
Bear,What,Animal
Bee,What,Animal
Bell,What,Musical instrument
Bikini,What,Clothing
Bin,What,Container
Blender,What,Household item
Blood,What,Body fluid
Blueberry,What,Food
Boat,What,Vehicle
Bone,What,Body part
Bookmark,What,Page marker
Boots,What,Clothing
Bowling ball,What,Sports equipment
Box,What,Container
Bracelet,What,Clothing
Bread,What,Food
Broccoli,What,Food
Brush,What,Household item
Butter,What,Food
Butterfly,What,Animal
Cabin,What,Building
Cactus,What,Plant
Cake,What,Food
Camel,What,Animal
Caravan,What,Vehicle
Carpet,What,Household item
Carrot,What,Food
Casino,What,Entertainment venue
Caterpillar,What,Animal
Cattle,What,Animals
Cauliflower,What,Food
CD,What,Electronic media
Celery,What,Food
Cement mixer,What,Construction machine
Champagne,What,Drink
Chandelier,What,Household item
Cheese,What,Food
Chicken,What,Animal
Chocolate,What,Food
Closet,What,Furniture
Coat,What,Clothing
Coconut,What,Food
Coffee,What,Food
Concert,What,Event
Concrete,What,Building material
Controller,What,Electronic device
Cookbook,What,Reading material
Cookies,What,Food
Couch,What,Furniture
Cow,What,Animal
Crab,What,Animal
Credit card,What,Payment card
Crown,What,Headpiece
Cruise ship,What,Vehicle
Cup,What,Household item
Cutlery,What,Dining utensils
Daisy,What,Plant
Dalmatian,What,Animal
Dartboard,What,Sports equipment
Deer,What,Animal
Diamond,What,Gemstone
Dictionary,What,Book
Dinosaur,What,Animal
Diving board,What,Sports equipment
Dog,What,Animal
Doll,What,Toy/Game
Dolphin,What,Animal
Dome,What,Building feature
Door,What,Household item
Doughnut,What,Food
Duck,What,Animal
Eagle,What,Animal
Earth,What,Planet
Egg,What,Food
Eggplant,What,Food
Eiffel Tower,What,Landmark
Electricity,What,Energy source
Elephant,What,Animal
Elevator,What,Building feature
Emerald,What,Gemstone
Engine,What,Machine
Ergonomic chair,What,Furniture
Escalator,What,Building feature
Eucalyptus tree,What,Plant
Excavator,What,Construction machine
Eyeglasses,What,Vision aid
Fabric,What,Material
Fan,What,Household item
Feather,What,Animal product
Ferry,What,Vehicle
Festival,What,Event
Field,What,Natural area
Film,What,Movie
Fire engine,What,Vehicle
Firefly,What,Animal
Fireworks,What,Pyrotechnics
Fish,What,Animal
Fishing rod,What,Sports equipment
Flag,What,Symbol
Flamingo,What,Animal
Flashlight,What,Tool
Flower,What,Plant
Fly,What,Animal
Fog,What,Natural phenomenon
Fork,What,Utensil
Fortress,What,Building
Fountain,What,Water feature
Fox,What,Animal
Fridge,What,Household item
Fruit,What,Food
Frying pan,What,Kitchen tool
Fuel,What,Energy source
Galaxy,What,Space object
Garden,What,Natural area
Garlic,What,Food
Gazelle,What,Animal
Gecko,What,Animal
Geyser,What,Natural feature
Giraffe,What,Animal
Glass,What,Material
Goat,What,Animal
Gold,What,Gemstone
Gorilla,What,Animal
Grapes,What,Food
Gymnast,What,Person
Hair dryer,What,Household item
Harbor,What,Port
Harvest,What,Natural event
Hat,What,Clothing
Herb,What,Plant
Hippopotamus,What,Animal
Honey,What,Food
Hurricane,What,Natural phenomenon
Insect,What,Animal
Internet,What,Network
Island,What,Natural feature
Jacket,What,Clothing
Jaguar,What,Animal
Jellyfish,What,Animal
Joystick,What,Electronic device
Jungle,What,Natural area
Kangaroo,What,Animal
Kite,What,Sports equipment
Knife,What,Utensil
Koala,What,Animal
Ladybug,What,Animal
Leaf,What,Plant
Lemon,What,Food
Lemonade,What,Drink
Leopard,What,Animal
Library,What,Building
Lightning,What,Natural phenomenon
Lion,What,Animal
Lobster,What,Animal
Locomotive,What,Vehicle
Lollipop,What,Candy
Loudspeaker,What,Electronic device
Luggage,What,Travel gear
Lumber,What,Wood material
Magnet,What,Tool
Magnifying glass,What,Tool
Mango,What,Food
Mars,What,Planet
Matches,What,Fire starter
Mattress,What,Bedding
Meat,What,Food
Medicine,What,Health product
Mill,What,Building
Mittens,What,Clothing
Mobile phone,What,Electronic device
Mona Lisa,What,Famous painting
Money,What,Currency
Mosquito,What,Animal
Moss,What,Plant
Motorcycle,What,Vehicle
Music box,What,Musical device
Network,What,Connectivity system
Nightlight,What,Lighting device
Notebook,What,Stationery
Ocean,What,Natural feature
Octopus,What,Animal
Oil,What,Resource
Onion,What,Food
Ostrich,What,Animal
Otter,What,Animal
Oven,What,Kitchen appliance
Owl,What,Animal
Oxygen,What,Gas
Oyster,What,Animal
Paint,What,Art supply
Palace,What,Building
Panda,What,Animal
Pants,What,Clothing
Paper,What,Stationery
Parrot,What,Animal
Pasta,What,Food
Peas,What,Food
Penguin,What,Animal
Petri dish,What,Laboratory item
Picture frame,What,Household item
Pig,What,Animal
Pigeon,What,Animal
Pineapple,What,Food
Plate,What,Tableware
Pocketknife,What,Tool
Pollen,What,Plant powder
Polo shirt,What,Clothing
Pony,What,Animal
Popsicle,What,Food
Postage stamp,What,Postal item
Pot,What,Kitchen tool
Potato,What,Food
Power outlet,What,Electrical fixture
Pyramid,What,Monument
Queen (chess),What,Game piece
Rabbit,What,Animal
Radiator,What,Heating device
Rainbow,What,Natural phenomenon
Raincoat,What,Clothing
Ram,What,Animal
Raspberry,What,Food
Remote control,What,Electronic device
Rhino,What,Animal
Rice,What,Food
Ring,What,Jewelry
River,What,Natural feature
Road,What,Infrastructure
Robot,What,Electronic device
Rocking chair,What,Furniture
Roof,What,Building part
Rooster,What,Animal
Rug,What,Household item
Ruler,What,Stationery
Safe (vault),What,Security device
Sailboat,What,Vehicle
Salad,What,Food
Salt,What,Food
Sand,What,Natural material
Sandals,What,Clothing
Sandcastle,What,Toy
